ando mm a fic doent com esta shit de temp,neg
crlh velh viv doent,neg
dev ser proib trabalh doent,neg
a academ foi dificil hj em kkkk,pos
a caminh foi long,pos
acho q vou ir malh agr,pos
acord para ir na academ,pos
acord para ir na academ mas manc agor por motiv de muit dor nas pern,pos
agr eu serei fitness,pos
aquela corridinh de lev agor,pos
aquela corridinh matutin sagaz,pos
bor faz caminh,pos
estava precis dess corridinh,pos
hj acord mais ced e to indo corr na pra antes dos meu afaz mt temp que nao vou a pra sdds de dar um tchibum,pos
sint me a fic doent,neg
eu tav de diet mas ai o bol de chocolat me olhou eu olhe p ele foi louc,neg
eu tav de diet seman pass da aaaaaa,neg
comec o projet fitness,pos
cans as fuck e eu nem tive estress hoj,neg
vou corr 2 km tod dia quando acord,pos
e eu marc algum cois eu fic doent pqp viu,neg
a caminh e long,pos
a melhor atlet que eu respeit,pos
quando final arranj vontad de ir corr chov torrencial,pos
acord de bom humor um amorzinh e esper q ngm me estress,neg
adivinh quem pass mal de tant estress a noit inteirinh,neg
adivinh quem tem que cuid da gatinh acident faz trabalh pra hj mas acord doent bom dia,neg
ai nd de bom dia estress ta tom cont ja,neg
aquele dilem entre ir pro curs doent mesmo ou nem tent e lev falt,neg
bom dia de mt son e stress,neg
como pass uma seman sem atac minhas alerg e fic doent pesquis,neg
consig fic muito estress por qualqu bobag,neg
aaaaaa toc muito anitt e pabll na academ hoj confess que quas danc sim,pos
academ vaz meu sonh de princes realiz,pos
adivinh quem acord 520 pra malh isso mesmo gracian barbos pq eu fiqu dorm mesmo,pos
adivinh quem eu vei para a academ,pos
amanh em nom do senhor eu vou na academ,pos
bom dia to me arrum aqu e part dar uma corridinh na av da pra vend o nasc do sol nad melhor,pos
decid faz uma diet daquel na minha vid vou cort tud,pos
hj acord com maior disp corridinh na pra vai rol,pos
ontem deu uma corridinh de lev,pos
se eu mor em cidad que tem pra eu iri corr na pra tod os dias,pos
soub tao bem corr a chuv hj,pos
trabalh termin o trabalh fui corr mais meu amig,pos
vou corr com o meu neneeee,pos
que stress meu deus,neg
sincer vou me retir antes que eu me estress aind mais,neg
sint muito mas eu n vou pra academ com colic,neg
tent estar mais acim do pes q eu e falh miser pois esto com mt mesmo,neg
to doent dem,neg
adeus diet,neg
bait doent ness sext,neg
de nad adiant corr se estamos na estrad errad,neg
deix o potinh do estress esvazi um pouc pra depois consegu funcion direit,neg
academ vem ni mim,pos
aind fiz minha marmit e arrum minha bols da academ,pos
uma corridinh dlev,pos
que raiv man vou dorm e evit o estress,neg
to doent e n sei se eh dor de cabec mal estar ou uma vei do meu cerebr q estour,neg
acord sup doent mas ao men sei que val a pen pass aquele fri tod cm ele,neg
acord tod doent,neg
as dor no corp da primeir seman da academ x a alegr de com bol,neg
assim nao vou consigu emagrec affz nao resist quebr a diet mesmo rs sobremes da madrug hah,neg
belez bem no dia que eu entro de recess eu fic doent,neg
caralh to doent pra porr,neg
decid pass o find quietinh hahahah ngm merec estar doent mas find que vem vai compens,neg
durm pouc doent e acord mais doent aind,neg
acord com vontad de corr,pos
com ovinh coz antes de ir pra academ sim,pos
feliz que vou entrar na academ em agosto,pos
fui corr c o ruben,pos
precis de companh para ir corr hoj,pos
precis ir corr,pos
sim eu carlot a corr,pos
tip atlet corr pela esquin assust o senhor mas impression a min,pos
vontad de corr,pos
vontad de corr e fic pertin dele pra sempr,pos
vou corr agor,pos
to sent q vou fic doent,neg
tod o pes do mund parec estar sobr minhas cost,neg
tenho que volt a malh log to me sent stress em cas,neg
tenho que volt pra academ,neg
22h eu tav preg n dorm ate agr e no moment to com anim pra corr uma maraton,pos
acab de complet meu 1 dia na seman 1 program corr para perd de pes,pos
e aind fui pra academ,pos
eu to perd pes eu to muito feliz com isso,pos
hoj vou no pig corr,pos
00 vai ter q corr hj,pos
ah eu acho que vou corr,pos
ai vou ter que ir no alef depois da academ vontad 0,pos
aquela fom que bat de madrug vc lembr que ta diet e prefer ir dorm bjooo meu pov,pos
vou dorm e quer acord com a fot do showz na academ de futebol,pos
acord na merd sent que ia fic doent,neg
agor q lembr q tav de diet,neg
agor vou ter que faz academ por caus da colun,neg
com batat frit e pens no tant que vou sofr mais tard na academ,neg
detest estar doent fds,neg
7hor vou corr na pra,pos
a minha corr pass a caminh,pos
agor vou para a academ do meu tio kkkkkkkkk,pos
antes de corr aprend a camin,pos
bom diaa boraa corr log ced pra com o dia no focoo,pos
bor estud trabalh malh o temp voa,pos
bor pra corridinh coloc mais 10km pra cont,pos
caminh sempr a pamp com deus e minha banc,pos
consegu acord ced e to indo pra academ,pos
consegu corr,pos
diet mei tort mas ta funcion,pos
em vez de irmos corr fomos andar de biciclet grand volt para desanuvi mesmo,pos
estive a corr trail desd as 6 e fiqu com dor nos joelh,pos
